srednica,budget,medium,premium,wzmocnione_budget,wzmocnione_medium,wzmocnione_premium,wielosezon_budget,wielosezon_medium,wielosezon_premium,wielosezon_wzmocnione_budget,wielosezon_wzmocnione_medium,wielosezon_wzmocnione_premium
13,760,825,1076,1005,1310,328,760,845,1008,202,284,385
14,895,1010,1260,1455,1500,1944,890,1070,1202,223,1550,1944
15,1055,1225,1536,1665,1810,2214,1110,1280,1504,1615,1865,2412
16,1410,1730,2202,2020,2120,2544,1530,1860,2210,2085,2245,2764
17,1830,2355,2814,2735,2755,3470,2145,2215,2610,2839,2930,3628
18,2150,2665,3412,3096,3118,3927,2135,2645,2958,3213,3316,4366
19,2715,3450,4488,4008,4037,5084,2275,3050,3654,0,0,0
20,3060,4215,5640,4897,4933,6212,2780,3980,4622,0,0,0
21,2280,4970,6476,5775,5817,7325,3278,4693,5554,0,0,0
22,2787,4950,7430,7449,7014,8917,4107,5873,6534,0,0,0
23,3407,5350,8031,9608,8457,10855,5146,7349,7300,0,0,0
