KLASA SAMAR,SILNIK,0,1,2,3,4,5,6,7
Autobusy - AUTOBUSY,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Autobusy - AUTOBUSY,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Benzyna (PB),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Diesel (ON),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Benzyna mHEV (PB-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Diesel mHEV (ON-mHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Hybryda (HEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Plug-in Hybrid (PHEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Elektryczny (BEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,Wodór (FCEV),"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,LPG,"0,44","0,38","0,3","0,26","0,21","0,16","0,13","0,1"
Kombivany - H KOMBI-VANY,Benzyna (PB),"0,49","0,43","0,39","0,35","0,28","0,22","0,17","0,13"
Kombivany - H KOMBI-VANY,Diesel (ON),"0,53","0,47","0,44","0,3","0,24","0,19","0,14","0,1"
Kombivany - H KOMBI-VANY,Benzyna mHEV (PB-mHEV),"0,49","0,43","0,39","0,35","0,28","0,22","0,17","0,13"
Kombivany - H KOMBI-VANY,Diesel mHEV (ON-mHEV),"0,53","0,47","0,44","0,3","0,24","0,19","0,14","0,1"
Kombivany - H KOMBI-VANY,Hybryda (HEV),"0,49","0,43","0,39","0,35","0,28","0,22","0,17","0,13"
Kombivany - H KOMBI-VANY,Plug-in Hybrid (PHEV),"0,49","0,43","0,39","0,35","0,28","0,22","0,17","0,13"
Kombivany - H KOMBI-VANY,Elektryczny (BEV),"0,49","0,43","0,39","0,35","0,28","0,22","0,17","0,13"
Kombivany - H KOMBI-VANY,Wodór (FCEV),"0,49","0,43","0,39","0,35","0,28","0,22","0,17","0,13"
Kombivany - H KOMBI-VANY,LPG,"0,49","0,43","0,39","0,35","0,28","0,22","0,17","0,13"
Lekkie dostawcze - KOMBI VAN,Benzyna (PB),"0,5","0,44","0,37","0,3","0,24","0,19","0,15","0,11"
Lekkie dostawcze - KOMBI VAN,Diesel (ON),"0,47","0,41","0,34","0,37","0,29","0,23","0,14","0,09"
Lekkie dostawcze - KOMBI VAN,Benzyna mHEV (PB-mHEV),"0,5","0,44","0,37","0,3","0,24","0,19","0,15","0,11"
Lekkie dostawcze - KOMBI VAN,Diesel mHEV (ON-mHEV),"0,47","0,41","0,34","0,37","0,29","0,23","0,14","0,09"
Lekkie dostawcze - KOMBI VAN,Hybryda (HEV),"0,5","0,44","0,37","0,3","0,24","0,19","0,15","0,11"
Lekkie dostawcze - KOMBI VAN,Plug-in Hybrid (PHEV),"0,5","0,44","0,37","0,3","0,24","0,19","0,15","0,11"
Lekkie dostawcze - KOMBI VAN,Elektryczny (BEV),"0,5","0,44","0,37","0,3","0,24","0,19","0,15","0,11"
Lekkie dostawcze - KOMBI VAN,Wodór (FCEV),"0,5","0,44","0,37","0,3","0,24","0,19","0,15","0,11"
