Klasa SAMAR,Próg Przebiegu (km),Korekta < Próg,Korekta > Próg
Autobusy - AUTOBUSY,190000,"0,004","0,008"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,190000,"0,004","0,008"
Kombivany - H KOMBI-VANY,190000,"0,0152","0,0304"
Lekkie dostawcze - KOMBI VAN,190000,"0,0152","0,0304"
Lekkie dostawcze - VAN,190000,"0,0152","0,0304"
Minibusy - I MINIBUSY,190000,"0,0058","0,0116"
Pick-up - PICK-UP,190000,"0,0129","0,0258"
Podstawowa - A MINI,190000,"0,0104","0,0208"
Podstawowa - B MAŁE,190000,"0,0148","0,0296"
Podstawowa - C NIŻSZA ŚREDNIA,190000,"0,0143","0,03"
Podstawowa - D ŚREDNIA,190000,"0,0142","0,0284"
Podstawowa - E WYŻSZA,190000,"0,0137","0,0274"
Podstawowa - F LUKSUSOWE,190000,"0,0154","0,0308"
Podstawowa - G SUPER LUKSUSOWE,190000,"0,018","0,036"
Sportowo-rekreacyjne - A MINI,190000,"0,0104","0,0208"
Sportowo-rekreacyjne - B MAŁE,190000,"0,0148","0,0296"
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,190000,"0,0143","0,03"
Sportowo-rekreacyjne - D ŚREDNIA,190000,"0,0142","0,0284"
Sportowo-rekreacyjne - E WYŻSZA,190000,"0,018","0,036"
Sportowo-rekreacyjne - F LUKSUSOWE,190000,"0,0154","0,0308"
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,190000,"0,0154","0,0308"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,190000,"0,004","0,008"
Terenowo-rekreacyjne (SUV) - B MAŁE,190000,"0,0192","0,0384"
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,190000,"0,0175","0,035"
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,190000,"0,0126","0,0252"
Terenowo-rekreacyjne (SUV) - E WYŻSZA,190000,"0,0127","0,0254"
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,190000,"0,0127","0,0254"
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,190000,"0,0127","0,0254"
Vany - B MICROVANY,190000,"0,0148","0,0296"
Vany - C MINIVANY,190000,"0,0143","0,03"
Vany - D VANY,190000,"0,0142","0,0284"
Vany - E WYŻSZA,190000,"0,01","0,02"
Vany - F LUKSUSOWE,190000,"0,01","0,02"
