"Klasa_SAMAR","Benzyna (PB)","Diesel (ON)","Benzyna mHEV (PB-mHEV)","Diesel mHEV (ON-mHEV)","Hybryda (HEV)","Plug-in Hybrid (PHEV)","Elektryczny (BEV)","Wodór (FCEV)","LPG"
"Autobusy - AUTOBUSY","0,32","0,32","0,4","0,32","0,32","0,32","0,28","0,28","0,1"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE","0,32","0,32","0,4","0,32","0,32","0,32","0,28","0,28","0,1"
"Kombivany - H KOMBI-VANY","0,28","0,31","0,28","0,31","0,28","0,27","0,22","0,22","0,23"
"Lekkie dostawcze - KOMBI VAN","0,28","0,26","0,28","0,26","0,28","0,27","0,22","0,22","0,23"
"Lekkie dostawcze - VAN","0,28","0,26","0,28","0,26","0,28","0,27","0,22","0,22","0,23"
"Minibusy - I MINIBUSY","0,56","0,38","0,56","0,38","0,32","0,32","0,28","0,28","0,51"
"Pick-up - PICK-UP","0,42","0,42","0,4","0,42","0,32","0,32","0,28","0,28","0,1"
"Podstawowa - A MINI","0,39","0,38","0,39","0,38","0,39","0,32","0,28","0,28","0,34"
"Podstawowa - B MAŁE","0,46","0,31","0,46","0,31","0,46","0,32","0,28","0,28","0,41"
"Podstawowa - C NIŻSZA ŚREDNIA","0,39","0,39","0,39","0,39","0,44","0,32","0,28","0,28","0,34"
"Podstawowa - D ŚREDNIA","0,36","0,4","0,36","0,4","0,38","0,32","0,28","0,28","0,31"
"Podstawowa - E WYŻSZA","0,44","0,33","0,44","0,33","0,44","0,32","0,28","0,28","0,39"
"Podstawowa - F LUKSUSOWE","0,33","0,38","0,33","0,38","0,41","0,32","0,28","0,28","0,28"
"Podstawowa - G SUPER LUKSUSOWE","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
"Sportowo-rekreacyjne - A MINI","0,39","0,38","0,39","0,38","0,39","0,32","0,28","0,28","0,34"
"Sportowo-rekreacyjne - B MAŁE","0,46","0,31","0,46","0,31","0,46","0,32","0,28","0,28","0,41"
"Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA","0,44","0,39","0,44","0,39","0,44","0,32","0,28","0,28","0,39"
"Sportowo-rekreacyjne - D ŚREDNIA","0,41","0,42","0,41","0,42","0,46","0,32","0,28","0,28","0,36"
"Sportowo-rekreacyjne - E WYŻSZA","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
"Sportowo-rekreacyjne - F LUKSUSOWE","0,41","0,38","0,41","0,38","0,41","0,32","0,28","0,28","0,36"
"Sportowo-rekreacyjne - G SUPER LUKSUSOWE","0,41","0,38","0,41","0,38","0,41","0,32","0,28","0,28","0,36"
"Średnie dostawcze - ŚREDNIE DOSTAWCZE","0,32","0,32","0,4","0,32","0,32","0,32","0,28","0,28","0,1"
"Terenowo-rekreacyjne (SUV) - B MAŁE","0,46","0,46","0,46","0,46","0,46","0,32","0,28","0,28","0,41"
"Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA","0,42","0,4","0,42","0,4","0,4","0,32","0,28","0,28","0,37"
"Terenowo-rekreacyjne (SUV) - D ŚREDNIA","0,42","0,38","0,42","0,38","0,34","0,32","0,28","0,28","0,37"
"Terenowo-rekreacyjne (SUV) - E WYŻSZA","0,33","0,35","0,33","0,35","0,42","0,32","0,28","0,28","0,28"
"Terenowo-rekreacyjne (SUV) - F LUKSUSOWE","0,41","0,44","0,41","0,44","0,41","0,32","0,28","0,28","0,36"
"Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE","0,41","0,44","0,41","0,44","0,41","0,32","0,28","0,28","0,36"
"Vany - B MICROVANY","0,46","0,31","0,46","0,31","0,46","0,32","0,28","0,28","0,41"
"Vany - C MINIVANY","0,44","0,39","0,44","0,39","0,44","0,32","0,28","0,28","0,39"
"Vany - D VANY","0,46","0,42","0,46","0,42","0,46","0,32","0,28","0,28","0,41"
"Vany - E WYŻSZA","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
"Vany - F LUKSUSOWE","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
