Klasa SAMAR (FK),przebieg_do,stawka_aso_per_km,stawka_non_aso_per_km
"Autobusy - AUTOBUSY",30000,"0,0874","0,0295"
"Autobusy - AUTOBUSY",60000,"0,0736","0,0344"
"Autobusy - AUTOBUSY",90000,"0,0853","0,0365"
"Autobusy - AUTOBUSY",120000,"0,1027","0,0553"
"Autobusy - AUTOBUSY",150000,"0,1198","0,0646"
"Autobusy - AUTOBUSY",180000,"0,1236","0,0666"
"Autobusy - AUTOBUSY",210000,"0,0827","0,0446"
"Autobusy - AUTOBUSY",245000,"0,0827","0,0446"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",30000,"0,0522","0,0401"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",60000,"0,0981","0,0755"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",90000,"0,1426","0,1097"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",120000,"0,1554","0,1195"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",150000,"0,1767","0,1359"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",180000,"0,1720","0,1323"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",210000,"0,1336","0,1028"
"Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE",245000,"0,1336","0,1028"
"Kombivany - H KOMBI-VANY",30000,"0,0750","0,0588"
"Kombivany - H KOMBI-VANY",60000,"0,0794","0,0350"
"Kombivany - H KOMBI-VANY",90000,"0,0674","0,0572"
"Kombivany - H KOMBI-VANY",120000,"0,0875","0,0742"
"Kombivany - H KOMBI-VANY",150000,"0,0693","0,0556"
"Kombivany - H KOMBI-VANY",180000,"0,0693","0,0588"
"Kombivany - H KOMBI-VANY",210000,"0,0693","0,0588"
"Kombivany - H KOMBI-VANY",245000,"0,0693","0,0588"
"Lekkie dostawcze - KOMBI VAN",30000,"0,0771","0,0593"
"Lekkie dostawcze - KOMBI VAN",60000,"0,0733","0,0441"
"Lekkie dostawcze - KOMBI VAN",90000,"0,1352","0,1040"
"Lekkie dostawcze - KOMBI VAN",120000,"0,0932","0,0717"
"Lekkie dostawcze - KOMBI VAN",150000,"0,0807","0,0620"
"Lekkie dostawcze - KOMBI VAN",180000,"0,0953","0,0733"
"Lekkie dostawcze - KOMBI VAN",210000,"0,0953","0,0733"
"Lekkie dostawcze - KOMBI VAN",245000,"0,0953","0,0733"
"Lekkie dostawcze - VAN",30000,"0,0771","0,0593"
"Lekkie dostawcze - VAN",60000,"0,0733","0,0441"
"Lekkie dostawcze - VAN",90000,"0,1352","0,1040"
"Lekkie dostawcze - VAN",120000,"0,0932","0,0717"
