Klasa SAMAR (FK),przebieg_do,stawka_aso_per_km,stawka_non_aso_per_km
Lekkie dostawcze - KOMBI VAN,30000,"0,0304","0,0275"
Lekkie dostawcze - KOMBI VAN,60000,"0,0505","0,0461"
Lekkie dostawcze - KOMBI VAN,90000,"0,0581","0,0528"
Lekkie dostawcze - KOMBI VAN,120000,"0,0596","0,0544"
Lekkie dostawcze - KOMBI VAN,150000,"0,0623","0,057"
Lekkie dostawcze - VAN,30000,"0,0304","0,0275"
Lekkie dostawcze - VAN,60000,"0,0505","0,0461"
Lekkie dostawcze - VAN,90000,"0,0581","0,0528"
Lekkie dostawcze - VAN,120000,"0,0596","0,0544"
Lekkie dostawcze - VAN,150000,"0,0623","0,057"
Pick-up - PICK-UP,30000,"0,0304","0,0275"
Pick-up - PICK-UP,60000,"0,0505","0,0461"
Pick-up - PICK-UP,90000,"0,0581","0,0528"
Pick-up - PICK-UP,120000,"0,0596","0,0544"
Pick-up - PICK-UP,150000,"0,0623","0,057"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,30000,"0,0304","0,0275"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,60000,"0,0505","0,0461"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,90000,"0,0581","0,0528"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,120000,"0,0596","0,0544"
Średnie dostawcze - ŚREDNIE DOSTAWCZE,150000,"0,0623","0,057"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,30000,"0,0304","0,0275"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,60000,"0,0505","0,0461"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,90000,"0,0581","0,0528"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,120000,"0,0596","0,0544"
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,150000,"0,0623","0,057"
Autobusy - AUTOBUSY,30000,"0,0304","0,0275"
Autobusy - AUTOBUSY,60000,"0,0505","0,0461"
Autobusy - AUTOBUSY,90000,"0,0581","0,0528"
Autobusy - AUTOBUSY,120000,"0,0596","0,0544"
Autobusy - AUTOBUSY,150000,"0,0623","0,057"
Podstawowa - A MINI,30000,"0,0304","0,0275"
Podstawowa - A MINI,60000,"0,0505","0,0461"
Podstawowa - A MINI,90000,"0,0581","0,0528"
Podstawowa - A MINI,120000,"0,0596","0,0544"
Podstawowa - A MINI,150000,"0,0623","0,057"
Podstawowa - B MAŁE,30000,"0,0304","0,0275"
Podstawowa - B MAŁE,60000,"0,0505","0,0461"
Podstawowa - B MAŁE,90000,"0,0581","0,0528"
Podstawowa - B MAŁE,120000,"0,0596","0,0544"
Podstawowa - B MAŁE,150000,"0,0623","0,057"
Podstawowa - C NIŻSZA ŚREDNIA,30000,"0,0304","0,0275"
Podstawowa - C NIŻSZA ŚREDNIA,60000,"0,0505","0,0461"
Podstawowa - C NIŻSZA ŚREDNIA,90000,"0,0581","0,0528"
Podstawowa - C NIŻSZA ŚREDNIA,120000,"0,0596","0,0544"
Podstawowa - C NIŻSZA ŚREDNIA,150000,"0,0623","0,057"
Podstawowa - D ŚREDNIA,30000,"0,0304","0,0275"
Podstawowa - D ŚREDNIA,60000,"0,0505","0,0461"
Podstawowa - D ŚREDNIA,90000,"0,0581","0,0528"
Podstawowa - D ŚREDNIA,120000,"0,0596","0,0544"
Podstawowa - D ŚREDNIA,150000,"0,0623","0,057"
Podstawowa - E WYŻSZA,30000,"0,0304","0,0275"
Podstawowa - E WYŻSZA,60000,"0,0505","0,0461"
Podstawowa - E WYŻSZA,90000,"0,0581","0,0528"
Podstawowa - E WYŻSZA,120000,"0,0596","0,0544"
Podstawowa - E WYŻSZA,150000,"0,0623","0,057"
Podstawowa - F LUKSUSOWE,30000,"0,0304","0,0275"
Podstawowa - F LUKSUSOWE,60000,"0,0505","0,0461"
Podstawowa - F LUKSUSOWE,90000,"0,0581","0,0528"
Podstawowa - F LUKSUSOWE,120000,"0,0596","0,0544"
Podstawowa - F LUKSUSOWE,150000,"0,0623","0,057"
Podstawowa - G SUPER LUKSUSOWE,30000,"0,0304","0,0275"
Podstawowa - G SUPER LUKSUSOWE,60000,"0,0505","0,0461"
Podstawowa - G SUPER LUKSUSOWE,90000,"0,0581","0,0528"
Podstawowa - G SUPER LUKSUSOWE,120000,"0,0596","0,0544"
Podstawowa - G SUPER LUKSUSOWE,150000,"0,0623","0,057"
Vany - B MICROVANY,30000,"0,0304","0,0275"
Vany - B MICROVANY,60000,"0,0505","0,0461"
Vany - B MICROVANY,90000,"0,0581","0,0528"
Vany - B MICROVANY,120000,"0,0596","0,0544"
Vany - B MICROVANY,150000,"0,0623","0,057"
Vany - C MINIVANY,30000,"0,0304","0,0275"
Vany - C MINIVANY,60000,"0,0505","0,0461"
Vany - C MINIVANY,90000,"0,0581","0,0528"
Vany - C MINIVANY,120000,"0,0596","0,0544"
Vany - C MINIVANY,150000,"0,0623","0,057"
