Mnożniki MARKA (FK),Wartość,,Mnożniki NAPĘD (FK),Wartość,,Mnożniki PALIWO (FK),Wartość,,Mnożniki SKRZYNIA (FK),Wartość
ALFA ROMEO,"1,19",,4x4,1.15,,Benzyna (PB),1,,Automatyczna,"1,15"
AUDI,"1,12",,2x4,1,,Benzyna mHEV (PB-mHEV),"1,03",,Manualna,"0,87"
BMW,"1,54",,RWD,1,,Diesel (ON),"1,02",,,
BYD,"1,62",,,,,Diesel mHEV (ON-mHEV),"1,05",,,
CHEVROLET,"0,74",,,,,Elektryczny (BEV),"0,6",,,
CITROEN,"0,86",,,,,Hybryda (HEV),"1,09",,,
CUPRA,"1,06",,,,,LPG,"1,1",,,
DS,"1,08",,,,,Plug-in Hybrid (PHEV),"1,15",,,
FIAT,"0,81",,,,,Wodór (FCEV),"1,2",,,
HONDA,"1,17",,,,,,,,,
HYUNDAI,"0,94",,,,,,,,,
INFINITI,"2,27",,,,,,,,,
ISUZU,"1,14",,,,,,,,,
IVECO,"1,1",,,,,,,,,
JAECOO,"1,57",,,,,,,,,
JEEP,"1,06",,,,,,,,,
KGM,"2,95",,,,,,,,,
KIA,"0,87",,,,,,,,,
LANCIA,"0,93",,,,,,,,,
LAND,"1,68",,,,,,,,,
LEXUS,"1,86",,,,,,,,,
MASERATI,"6,77",,,,,,,,,
MAZDA,"1,25",,,,,,,,,
MERCEDES,"1,14",,,,,,,,,
MG,"0,32",,,,,,,,,
MINI,"0,89",,,,,,,,,
MITSUBISHI,"1,14",,,,,,,,,
OFERTA,"1,17",,,,,,,,,
OMODA,"1,41",,,,,,,,,
OPEL,"0,91",,,,,,,,,
PEUGEOT,"0,93",,,,,,,,,
PORSCHE,"2,73",,,,,,,,,
RENAULT,"0,86",,,,,,,,,
SEAT,"0,8",,,,,,,,,
SKODA,"0,83",,,,,,,,,
SMART,"0,82",,,,,,,,,
SUZUKI,"0,82",,,,,,,,,
TESLA,"2,82",,,,,,,,,
TOYOTA,"0,82",,,,,,,,,
VOLKSWAGEN,"0,91",,,,,,,,,
VOLVO,"1,16",,,,,,,,,
