Klasa SAMAR (FK),Średnia l. dni/rok,Stawka dzienna NETTO (zł)
Lekkie dostawcze - KOMBI VAN,"6,5",80
Lekkie dostawcze - VAN,"6,5",80
Pick-up - PICK-UP,"6,5",110
Średnie dostawcze - ŚREDNIE DOSTAWCZE,"6,5",110
Ciężkie dostawcze - CIĘŻKIE DOSTAWCZE,"6,5",120
Autobusy - AUTOBUSY,"6,5",250
Podstawowa - A MINI,"6,5",50
Podstawowa - B MAŁE,"6,5",60
Podstawowa - C NIŻSZA ŚREDNIA,"6,5",70
Podstawowa - D ŚREDNIA,"6,5",100
Podstawowa - E WYŻSZA,"6,5",185
Podstawowa - F LUKSUSOWE,"6,5",250
Podstawowa - G SUPER LUKSUSOWE,"6,5",250
Vany - B MICROVANY,"6,5",80
Vany - C MINIVANY,"6,5",80
Vany - D VANY,"6,5",80
Vany - E WYŻSZA,"6,5",80
Vany - F LUKSUSOWE,"6,5",80
Sportowo-rekreacyjne - A MINI,"6,5",100
Sportowo-rekreacyjne - B MAŁE,"6,5",100
Sportowo-rekreacyjne - C NIŻSZA ŚREDNIA,"6,5",100
Sportowo-rekreacyjne - D ŚREDNIA,"6,5",100
Sportowo-rekreacyjne - E WYŻSZA,"6,5",100
Sportowo-rekreacyjne - F LUKSUSOWE,"6,5",100
Sportowo-rekreacyjne - G SUPER LUKSUSOWE,"6,5",100
Terenowo-rekreacyjne (SUV) - B MAŁE,"6,5",100
Terenowo-rekreacyjne (SUV) - C NIŻSZA ŚREDNIA,"6,5",100
Terenowo-rekreacyjne (SUV) - D ŚREDNIA,"6,5",100
Terenowo-rekreacyjne (SUV) - E WYŻSZA,"6,5",100
Terenowo-rekreacyjne (SUV) - F LUKSUSOWE,"6,5",100
Terenowo-rekreacyjne (SUV) - G SUPER LUKSUSOWE,"6,5",100
Kombivany - H KOMBI-VANY,"6,5",80
Minibusy - I MINIBUSY,"6,5",80
